pga,pgv,pgd,AriasIntensity,CAV,pgaviapgv,ArayaSaragoniIntensity,StrongMotionDurationATB,StrongMotionDurationROG,StrongMotionDurationBolt,P90,arms,characteristicIntensity,intensityFajfarVidicFischinger,intensityRiddelGarcia,spectralDisplacement,spectralAcceleration,spectralVelocity,HousnerIntensity,KapposIntensity,spectralEnergy,MISDR1stOrder
164.2425,15.7654,62.6072,26.6879,547.2257,10.4179,0.63224,28.335,32.005,6.5,0.848,23.0142,587.6987,36.3736,190.8674,4.2598,105.1158,25.5625,48.3308,14.3792,13.7665,0.31893
100.2766,18.2628,61.2494,22.4,535.7824,5.4907,0.71694,31.89,36.335,6.48,0.63216,19.8706,500.1998,43.3992,194.2316,9.0059,221.5731,45.5358,54.2564,19.6557,44.9535,0.54837
82.8959,16.9543,26.4922,14.1105,435.8452,4.8894,0.77328,29.375,37.66,3.055,0.43235,16.4335,361.0642,39.4707,81.7417,5.5006,135.3602,26.4763,50.9302,12.3342,13.0393,0.40203
158.5237,17.8755,149.0848,64.0865,964.3968,8.8682,1.3354,31.775,34.415,32.36,1.815,33.6699,1101.2995,42.4404,472.2028,2.2322,55.344,16.0116,33.8994,5.2716,3.7161,0.41806
178.3843,19.8927,42.6777,90.6827,1038.639,8.9673,2.0838,30.69,32.325,31.79,2.6592,40.7545,1441.3266,46.8211,133.6186,4.2394,105.0194,27.2053,49.8221,10.3352,9.525,0.35948
125.0855,13.7544,22.4081,30.0384,635.9639,9.0942,0.61636,31.25,34.38,6.715,0.86523,23.2472,626.5864,32.5202,70.5812,7.2524,178.6253,40.9065,42.9848,16.8309,20.7923,0.43248
100.5533,18.1944,21.255,21.2325,532.777,5.5266,0.38007,31.925,35.255,5.995,0.59834,19.3313,480.2395,43.2485,67.4278,10.0534,247.311,52.8984,49.9171,22.7467,36.4143,0.57883
107.0177,15.2043,25.0861,32.1115,678.9344,7.0386,1.1162,34.985,39.045,30.17,0.82609,22.7149,640.3351,36.9775,82.0467,4.4423,109.0405,24.0636,46.046,10.7549,11.4029,0.3561
116.4851,8.1091,1.0038,28.1705,542.7997,14.3647,0.36176,17.25,23.89,10.635,1.4697,30.3001,692.7258,16.5261,2.5937,2.2661,55.7946,17.4144,26.475,5.7476,3.4621,0.22359
117.3885,6.9515,1.6106,19.1176,453.2624,16.8868,0.29254,19.475,28.41,4.655,0.88358,23.4938,502.5373,14.6032,4.3331,3.1024,76.3046,14.7126,27.6562,7.2261,4.7059,0.3137
235.8246,23.9959,5.5644,68.9666,720.0594,9.8277,4.259,14.8,18.205,16.965,4.1972,51.2007,1409.4331,47.0654,13.6616,7.5903,187.1464,42.7762,97.712,22.2059,30.3167,0.71682
290.723,24.627,5.9119,84.187,814.6798,11.805,5.1483,13.76,16.475,11.83,5.5064,58.6364,1665.5594,47.4315,14.1667,7.7688,191.1653,42.8456,95.0328,17.3707,19.0003,0.6545
317.8702,18.579,2.9133,68.7901,542.751,17.1091,0.27541,5.52,9.595,6.155,11.2131,83.7211,1799.7908,28.4778,5.1487,4.395,108.5173,24.8251,48.9239,10.5522,6.8497,0.3812
748.4989,68.0643,61.6883,1002.5769,2795.7582,10.9969,11.2244,17.08,20.05,25.04,52.8454,181.694,10121.7325,138.3698,158.8664,33.125,818.6915,169.861,253.8675,79.175,169.7533,2.3467
881.9593,105.884,324.0177,1106.5937,2504.3979,8.3295,11.211,13.685,17.19,22.07,72.8775,213.3621,11529.1745,203.6534,775.0274,27.5007,677.7564,147.1198,300.1705,68.5978,274.7172,2.2234
478.1922,76.6778,28.2703,176.073,922.6002,6.2364,6.2,9.805,12.48,12.47,16.1662,100.4285,3151.4426,135.6849,60.5081,18.4927,458.1776,95.5944,210.4662,45.0888,82.5872,3.4903
403.4144,108.4722,33.98,162.6385,888.5715,3.7191,7.0809,9.13,15.62,11.71,16.0408,100.0981,3026.0346,188.5542,71.02,31.1533,765.644,140.9029,330.6458,78.473,141.1652,6.1408
