PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_PA
250.5516,28.2139,73.4196,40.6534,285.7124,8.8804,1.5394,5.99,6.23,6.47,6.1057,61.8018,1189.0918,44.1387,133.3382,59.0043,0.059000000000000004
497.1948,39.6347,104.3575,111.8205,635.0892,12.5444,1.2741,8.885,10.905,13.555,11.3305,84.1314,2300.2025,68.4289,216.1438,124.2284,0.17300000000000001
262.1811,14.8278,1.3376000000000001,36.2049,383.6037,17.6818,0.7179800000000001,5.94,7.765,5.96,5.4907,58.5828,1092.8187,23.1485,2.4224,34.3579,0.035
483.6323,31.1103,2.4009,137.1271,862.5703,15.5458,0.59548,10.42,13.93,13.8,11.8581,86.0959,2578.7392,55.8947,5.2439,70.6137,0.088
620.4955,17.7623,3.1831,100.567,717.9525,34.9333,1.1038000000000001,7.53,10.72,12.28,12.0463,86.7891,2218.6841,29.4237,6.2389,72.9047,0.096
263.8204,44.2647,19.697,80.7711,765.9119,5.9601,3.3113,12.565,19.325,13.83,5.7911,60.1508,1653.6484,83.3391,45.7918,155.2392,0.521
166.5089,31.1446,9.630700000000001,40.2432,437.8908,5.3463,8.4177,10.4,11.57,9.85,3.4834,46.5981,1025.814,55.9295,21.0216,133.4169,0.384
129.9225,17.0224,222.8081,28.6499,561.9454,7.6324000000000005,0.6975800000000001,26.925,30.155,13.04,0.95935,24.4794,628.4624,38.7758,667.8049,44.6697,0.07
353.8732,11.2682,30.1922,45.2103,296.8857,31.4047,0.052208,3.555,4.76,5.785,11.4516,84.6257,1467.8215,15.4726,46.0796,26.1856,0.027
46.0751,6.2752,1.7956,3.5911,155.1871,7.3424,0.16449000000000003,12.185,13.675,0.0,0.26528,12.874,161.2431,11.7242,4.1318,30.9994,0.03
