MomentMag,Mech,VS30,RjbWork,Ia
5,3,266,130.72,0.005243
5.3,3,266,118.07,0.024636
6.1,3,266,131.67,2.4077
5.5,1,266,145.88,0.053157
5.4,2,266,146.35,0.1004
5.4,3,365,102.73,0.099553
5.3,3,365,101.76,0.048502
4.8,1,365,224.45,0.001137
6.3,3,365,91.65,0.36362
6.1,2,365,94.35,0.25689
5,3,365,133.52,0.002981
5.3,3,365,117.93,0.013404
6.8,1,363,67.8,1.367
5.1,1,363,10.3,10.1736
5.3,2,363,30.6,0.72502
5.3,3,455,19.4,1.2504
5,1,529,276.76,0.000026
5.2,2,529,129.62,0.003686
5.9,2,529,289.05,0.002532
5.2,2,529,202.69,0.000572
5.2,2,529,294.11,0.00005
6.2,1,529,272.56,0.016608
5.8,1,529,236.95,0.005735
5.3,2,529,272.43,0.000073
5.2,1,529,272.29,0.000218
5.1,2,529,140.64,0.002521
6.1,3,529,259.88,0.00274
5.5,1,529,270.57,0.000168
5.3,1,529,274.43,0.000272
5.4,2,529,284.26,0.000135
6,2,347,99.6,0.2637
5.1,1,347,55.5,0.075223
5,1,438,62.08,0.002433
5.4,3,438,28.43,0.4756
6,1,438,26.19,1.5297
5.2,2,438,290.54,0.000013
5.3,1,438,67.93,0.010635
5.1,1,438,42.27,0.12952
5.3,2,438,234.85,0.000125
5.2,1,438,235.94,0.000067
5.3,1,438,233.4,0.000051
6.5,1,438,17.75,5.9277
5.1,1,438,31.95,0.041314
4.8,1,305,219.62,0.001244
5.4,2,305,31.58,1.5411
4.9,2,305,34.24,0.4385
5.3,2,305,37.51,0.30733
5.3,1,305,85.76,0.25561
5.8,3,538,52.07,0.01955
4.8,1,538,120.68,0.001067
4.9,1,538,39.509704,0.021648
5.4,2,538,175.97,0.000203
5.3,2,538,182.29,0.000037
5,1,538,110.94,0.000372
6.1,1,538,174.26,0.005555
5.4,3,538,175.15,0.00025
5.1,1,538,169.44,0.000314
5.3,2,538,207.79,0.000077
5.2,1,538,209.3,0.000075
5.3,1,538,206.36,0.000091
6.5,1,538,185.98,0.021185
5.1,1,538,200.56,0.000077
5,1,538,218.93,0.000036
5,1,538,193.12,0.00012
5.4,2,508,188.54,0.001166
4.9,2,508,186.53,0.000229
5.3,2,508,189.51,0.00039
5.4,3,508,161.25,0.005044
6,1,508,152.05,0.020006
5.2,2,508,219.48,0.000054
5.3,1,508,84.32,0.010738
5.1,1,508,177.79,0.001631
5.3,2,508,245.86,0.001147
5.2,1,508,246.65,0.000282
5.3,1,508,244.76,0.000094
6.5,1,508,112.35,0.16267
5.1,1,508,113.25,0.007306
5.1,1,370,195.66,0.000129
5.4,2,370,190.79,0.000792
4.9,2,370,188.79,0.000142
5.3,2,370,191.75,0.000279
5,1,370,204.54,0.000083
6.1,1,370,143.82,0.043431
5.4,3,370,163.13,0.004292
6,1,370,153.82,0.013357
5.3,1,370,246.85,0.000059
6.5,1,370,114.3,0.10933
5.1,1,370,115.17,0.005444
4.3,3,464,16.1,0.061571
4,3,464,14.9,0.03063
5.1,1,464,192.49,0.000048
5,3,464,256.19,0.000022
5.2,2,464,277.15,0.000035
5.3,2,464,273.93,0.00003
5.4,2,464,188.31,0.000443
5.3,2,464,189.3,0.000101
5,1,464,201.4,0.000028
6.1,1,464,141.01,0.020435
5.4,3,464,160.33,0.001515
6,1,464,151.12,0.005912
5.2,2,464,219.93,0.000029
5.3,1,464,83.58,0.003516
5.1,1,464,176.87,0.000556
5.3,2,464,245.76,0.000363
5.2,1,464,246.55,0.000086
5.3,1,464,244.64,0.00003
6.5,1,464,111.43,0.048302
5.1,1,464,112.33,0.001754
5,1,464,88.38,0.001904
5,1,464,134.29,0.000223
5.1,1,337,43.85,0.15445
5,3,337,145.67,0.002335
5.8,3,337,151.52,0.008058
4.8,1,337,221.98,0.000688
5.4,2,337,112.12,0.016627
4.9,2,337,112.38,0.002806
5.3,2,337,116.64,0.003558
5,1,337,59.33,0.050063
6.1,1,337,96.38,0.55117
5.4,3,337,99.21,0.022564
6,1,337,101.13,0.41326
5.2,2,337,256.14,0.000224
5.3,1,337,91.21,0.075009
5.1,1,337,103.99,0.021292
5.3,2,337,169.91,0.003351
5.2,1,337,171.19,0.002997
5.3,1,337,168.63,0.002817
6.5,1,337,93.92,1.2511
5.1,1,337,101.59,0.00975
6,2,445,1.3,63.4244
5.4,2,445,13.9,15.2103
5.2,3,445,52.6,0.18852
6.4,3,445,57.8,2.8905
6.6,3,445,121.4,3.4744
5,2,445,12.7,4.3419
5.4,2,525,13.9,17.8923
5.4,3,421,123.5,0.00835
4.8,1,421,97.84,0.021779
4.9,1,421,29.563494,0.27724
5.4,2,421,187.3,0.004302
4.9,2,421,190.94,0.000405
5.3,2,421,192.85,0.000647
5,1,421,134.04,0.003252
5.4,3,421,198.27,0.002218
6,1,421,194.36,0.06644
5.3,1,421,224.74,0.005534
5.1,1,421,192.32,0.002375
5.3,2,421,212.85,0.001409
