MM,Me,ln(Vs30),ln(RJB),ln(pgv_rot50)
5.8,1,6.180017,5.516046,-2.21714161
4.8,1,6.180017,5.131141,-3.10147064
5.3,2,6.180017,4.712139,-1.73030695
5.0,1,6.180017,5.446953,-4.37255166
6.1,1,6.180017,5.630208,-2.16073837
5.4,3,6.180017,5.644209,-3.70423678
6.0,1,6.180017,5.667118,-1.46183721
5.2,2,6.180017,5.389391,-3.51317977
5.3,1,6.180017,5.487615,-2.94226734
5.1,1,6.180017,5.657285,-4.11108389
5.3,2,6.180017,4.348341,-1.82424134
5.2,1,6.180017,4.347435,-2.01492802
5.1,2,6.180017,5.520260,-4.28817206
5.3,1,6.180017,4.334149,-1.10243960
6.5,1,6.180017,5.615534,-1.22206889
4.4,2,5.624018,3.761200,-2.06695976
4.4,2,5.624018,3.000720,-0.38055788
4.1,1,5.624018,3.804438,-2.48399906
4.2,2,5.624018,4.460144,-2.89065180
5.3,2,5.624018,4.435567,-0.99395502
4.5,2,5.624018,4.426044,-2.35273168
4.8,2,5.624018,4.435567,-1.59671914
4.4,2,5.983936,3.775057,-2.01710544
4.4,2,5.983936,3.000720,-0.58954421
4.1,1,5.983936,3.822098,-3.07551168
5.3,2,5.983936,4.436752,-0.57410272
4.5,2,5.983936,4.427239,-2.58631499
4.4,2,5.398163,3.790985,-1.54660397
4.4,2,5.398163,2.995732,-0.50527439
4.8,1,5.398163,4.857484,-1.63927875
5.3,2,5.398163,4.439116,-0.81590256
4.5,2,5.398163,4.429626,-1.84484384
4.8,2,5.398163,4.439116,-1.27150246
5.2,2,5.831882,2.856470,1.34549841
6.0,2,5.831882,3.325036,2.29262566
6.5,2,5.831882,4.223910,0.80888368
5.0,1,6.082219,4.461762,-1.85272040
5.3,1,6.082219,4.977079,-3.09096646
5.1,1,6.082219,5.606574,-4.62025337
5.2,2,6.082219,4.606070,-2.39814931
5.3,2,6.082219,4.647846,-3.30852705
5.0,1,6.082219,5.657180,-4.00886436
5.8,1,6.082219,3.803324,0.59966034
5.4,2,6.082219,5.372543,-3.88742796
6.9,1,6.082219,4.393214,1.51848423
5.2,2,6.082219,4.919178,-3.17840589
5.3,2,6.082219,5.100415,-3.27111694
5.2,1,6.082219,5.106612,-2.68035235
5.1,2,6.082219,4.854683,-2.19471772
5.3,1,6.082219,5.129544,-2.65266753
5.1,1,5.669881,5.355926,-3.57712343
5.2,2,5.669881,5.458479,-3.70330297
5.3,2,5.669881,5.466117,-4.18764476
5.8,3,5.669881,5.396532,-3.32021665
5.8,1,5.669881,5.504233,-1.80023529
5.3,2,5.669881,4.585172,-1.65931116
6.0,1,5.669881,5.647283,-1.32768589
6.9,1,5.669881,5.647283,-0.89145179
5.2,2,5.669881,5.336769,-3.08248914
5.3,1,5.669881,5.437122,-2.64184120
5.3,2,5.669881,4.181592,-2.11884787
5.2,1,5.669881,4.180369,-2.02958528
5.1,2,5.669881,5.531174,-4.05520078
5.3,1,5.669881,4.159664,-1.20387281
6.5,1,5.669881,5.579428,-1.09907239
6.1,2,6.169611,3.802208,1.01848624
6.5,2,6.169611,4.271095,0.29072743
5.4,3,6.182085,5.681366,-4.03029991
6.0,1,6.182085,5.651893,-2.35020095
5.2,2,6.182085,5.258120,-4.32481489
5.3,1,6.182085,5.328167,-3.05539736
5.3,1,6.182085,5.670639,-4.08935702
6.5,1,6.182085,5.498806,-1.38541475
5.1,1,6.182085,5.502156,-3.59502488
4.4,2,5.590987,2.939162,0.02703134
5.1,1,5.590987,4.959342,-2.01687997
4.8,1,5.590987,4.852811,-1.78081953
5.3,2,5.590987,4.837868,-2.15012155
5.3,2,5.590987,4.447346,-0.79082616
4.8,2,5.590987,4.447346,-1.68523963
5.4,2,6.297109,4.239599,-1.68923898
4.9,2,6.297109,4.218625,-3.18892875
5.3,2,6.297109,4.226834,-2.46441015
5.0,1,6.297109,5.306385,-4.66361531
5.4,3,6.297109,5.326273,-3.37138618
6.0,1,6.297109,5.309307,-1.82108530
5.2,2,6.297109,4.729686,-3.00247495
5.3,1,6.297109,4.733827,-2.26115528
5.1,1,6.297109,5.392445,-3.68684153
5.3,2,6.297109,4.717427,-1.68761569
5.2,1,6.297109,4.724818,-2.39290375
5.3,1,6.297109,4.712768,-3.22045207
6.5,1,6.297109,5.138325,-0.93127747
